fish	BODY	None	"A Fish typically takes on its biblical definition: the truth. One of Freuds patients held a wriggling fish and it was assumed to represent a penis. Late, Freud suggested that the fish represented the patient's mother (pisces) rather than a penis."
coat	BODY	None	"A coat is a sign of the person you display publically."
mouth	SEX_SYMBOL	None	"A mouth represents female genitalia."
church	SEX_SYMBOL	None	"A church represents female genitalia."
pit	SEX_SYMBOL	None	"A pit represents female genitalia."
cave	SEX_SYMBOL	None	"A cave represents female genitalia."
bottle	SEX_SYMBOL	None	"A bottle represents female genitalia."
box	SEX_SYMBOL	None	"A box represents female genitalia."
suitcase	SEX_SYMBOL	None	"A suitcase represents female genitalia."
shoe	SEX_SYMBOL	None	"A represents female genitalia."
sweet	SEX_SYMBOL	POSITIVE	"Sweets represent a stand in for sexual delight."
fruit	SEX_SYMBOL	POSITIVE	"Fruits typically represent a sexual desire and positive future opportunities."
good	None	POSITIVE	None
great	None	VERY_POSITIVE	None
love	None	VERY_POSITIVE	None
happy	None	POSITIVE	None
beautiful	None	VERY_POSITIVE	None
bad	None	NEGATIVE	None
evil	None	VERY_NEGATIVE	None
scary	None	VERY_NEGATIVE	None
night	None	SOMEWHAT_NEGATIVE	None
dark	None	SOMEWHAT_NEGATIVE	None
hit	None	NEGATIVE	None
fight	None	NEGATIVE	None
stab	None	VERY_NEGATIVE	None
shoot	None	VERY_NEGATIVE	None
hat	None	VERY_NEGATIVE	None
scream	None	VERY_NEGATIVE	None
jump	None	SOMEWHAT_NEGATIVE	None
stalk	None	SOMEWHAT_NEGATIVE 	None
trapped	None	SOMEWHAT_NEGATIVE 	None
forest	PYSCHE	None	"Forests or woods represent isolation and signify the uncoincious."
chase	PSYCHE	None	"Being chased and running away is sign of reluctance to face a cause of stress in your life."
white	PSYCHE	None	"The colour white is associated to our coincious mind, according to Carl Jung (1930)."
black	PSYCHE	None	"The colour black is associated to our uncoincious mind, according to Carl Jung (1930)."
blue	PSYCHE	None	"The colour blue is associated to thinking, according to Carl Jung (1930)."
red	PSYCHE	None	"The colour red is associated to your feelings, according to Carl Jung (1930)."
yellow	PSYCHE	None	"The colour yellow represents intuition, according to Carl Jung (1930)."
green	PSYCHE	None	"The colour green represents sensation, according to Carl Jung (1930)."
silver	LIFE_FULFILL	None	"Silver represents purity and justice. It is also a symbol for protection, according to Carl Jung (1930)."
gold	LIFE_FULFILL	None	"Gold represents wealth, determination and development, according to Carl Jung (1930)."
orange	LIFE_FULFILL	None	"The colour Orange suggests an expanse in horizons, according to Carl Jung (1930)."
pink	SEX_SYMBOL	None	"The colour pink represents sex and lust, according to Carl Jung (1930)."
purple	PSYCHE	None	"The colour Purple denotes a mystic connection, according to Carl Jung (1930)."
sunset	LIFE_FULFILL	None	"Sunsets represent reconciliation over ones life."
octopus	LIFE_FULFILL	None	"Octopuses represent entanglement and constrictive life situations."
running	LIFE_FULFILL	None	"Running indicates an extreme. Either chasing a dream, escaping something threatening."
fire	PSYCHE	VERY_NEGATIVE	"Fires typically resemble anger and destruction. Indicates something is disturbing you."
wood	PSYCHE	None	"Woods or forests represent isolation and signify the uncoincious."
flamingo	PSYCHE	None	"Woods or forests represent isolation and signify the uncoincious."
mountain	PSYCHE	None	"Mountains represent peaks. Its likely that you have overcome a major milestone if you end up on  top of a mountain."
fall	LIFE_FULFILL	NEGATIVE	"Falling is a lose of control."
